0,1,2,3,4,5,6,7,8,9,10
pip fruit,citrus fruit,other vegetables,white wine,frozen vegetables,,,,,,
frozen vegetables,whole milk,,,,,,,,,
sausage,cake bar,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
whole milk,soda,,,,,,,,,
waffles,chocolate,,,,,,,,,
whole milk,pastry,chewing gum,shopping bags,,,,,,,
pork,yogurt,coffee,,,,,,,,
UHT-milk,sugar,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
frozen vegetables,dessert,,,,,,,,,
chocolate,cat food,,,,,,,,,
ham,pastry,sugar,,,,,,,,
beef,pip fruit,,,,,,,,,
specialty bar,candy,root vegetables,ice cream,,,,,,,
soda,margarine,,,,,,,,,
yogurt,tropical fruit,mayonnaise,curd,soft cheese,,,,,,
other vegetables,liquor,whole milk,butter milk,,,,,,,
root vegetables,salt,,,,,,,,,
bottled water,yogurt,beef,berries,chocolate,butter,,,,,
pip fruit,canned beer,,,,,,,,,
pork,rolls/buns,specialty bar,hygiene articles,,,,,,,
whole milk,other vegetables,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
soft cheese,pip fruit,,,,,,,,,
waffles,flour,,,,,,,,,
dessert,mayonnaise,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
shopping bags,baking powder,,,,,,,,,
pastry,detergent,dishes,,,,,,,,
pot plants,herbs,,,,,,,,,
berries,shopping bags,,,,,,,,,
bottled beer,bottled water,whipped/sour cream,sugar,,,,,,,
liver loaf,white bread,herbs,pastry,,,,,,,
soda,other vegetables,,,,,,,,,
fruit/vegetable juice,tropical fruit,,,,,,,,,
packaged fruit/vegetables,root vegetables,sliced cheese,pip fruit,,,,,,,
meat,whole milk,processed cheese,butter,,,,,,,
newspapers,yogurt,semi-finished bread,,,,,,,,
sausage,pasta,bottled water,,,,,,,,
brown bread,ice cream,fruit/vegetable juice,,,,,,,,
house keeping products,fruit/vegetable juice,,,,,,,,,
sliced cheese,butter,,,,,,,,,
waffles,ketchup,candy,,,,,,,,
other vegetables,oil,,,,,,,,,
bottled beer,soda,,,,,,,,,
ham,sausage,detergent,whipped/sour cream,yogurt,dishes,,,,,
rolls/buns,misc. beverages,,,,,,,,,
red/blush wine,pork,,,,,,,,,
hamburger meat,dessert,sliced cheese,,,,,,,,
red/blush wine,dessert,curd,rolls/buns,,,,,,,
frankfurter,hard cheese,butter,,,,,,,,
other vegetables,curd,,,,,,,,,
tropical fruit,detergent,,,,,,,,,
pip fruit,soda,,,,,,,,,
sausage,frozen meals,,,,,,,,,
sausage,soda,,,,,,,,,
flower soil/fertilizer,tropical fruit,,,,,,,,,
sliced cheese,rolls/buns,,,,,,,,,
female sanitary products,frozen fish,,,,,,,,,
salty snack,soda,oil,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
detergent,ham,whole milk,pip fruit,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
UHT-milk,fruit/vegetable juice,,,,,,,,,
pork,finished products,ice cream,shopping bags,rolls/buns,,,,,,
dessert,pastry,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
coffee,rolls/buns,other vegetables,,,,,,,,
grapes,meat spreads,domestic eggs,,,,,,,,
pork,long life bakery product,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
tropical fruit,brandy,whole milk,canned fish,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
coffee,bottled water,chocolate,,,,,,,,
detergent,tropical fruit,shopping bags,soft cheese,,,,,,,
sausage,coffee,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
tropical fruit,butter,,,,,,,,,
tropical fruit,cat food,,,,,,,,,
grapes,whole milk,,,,,,,,,
sausage,other vegetables,,,,,,,,,
pip fruit,butter,,,,,,,,,
frozen potato products,bottled beer,,,,,,,,,
citrus fruit,hygiene articles,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
pickled vegetables,cream cheese ,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
curd,whole milk,pastry,,,,,,,,
beverages,specialty chocolate,,,,,,,,,
fruit/vegetable juice,rolls/buns,chocolate,,,,,,,,
beef,dessert,,,,,,,,,
canned beer,brown bread,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
butter milk,sausage,UHT-milk,yogurt,canned beer,,,,,,
rolls/buns,shopping bags,,,,,,,,,
citrus fruit,candy,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
soda,pip fruit,pastry,jam,,,,,,,
rolls/buns,rum,,,,,,,,,
bottled beer,frozen dessert,rolls/buns,berries,rice,white bread,,,,,
meat,root vegetables,margarine,,,,,,,,
beef,bottled water,,,,,,,,,
pip fruit,flour,other vegetables,,,,,,,,
whole milk,white bread,,,,,,,,,
whipped/sour cream,other vegetables,pot plants,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
skin care,frankfurter,root vegetables,fruit/vegetable juice,,,,,,,
citrus fruit,brown bread,,,,,,,,,
beverages,pastry,,,,,,,,,
specialty bar,soda,,,,,,,,,
whole milk,nuts/prunes,,,,,,,,,
bottled beer,packaged fruit/vegetables,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
turkey,packaged fruit/vegetables,frozen vegetables,,,,,,,,
canned beer,whole milk,,,,,,,,,
whole milk,oil,,,,,,,,,
whole milk,frankfurter,whole milk,curd,canned vegetables,,,,,,
hamburger meat,frozen vegetables,,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
tropical fruit,specialty bar,,,,,,,,,
curd,citrus fruit,,,,,,,,,
ham,white bread,,,,,,,,,
dishes,rolls/buns,,,,,,,,,
frankfurter,pastry,,,,,,,,,
meat,rolls/buns,pastry,,,,,,,,
tropical fruit,pastry,,,,,,,,,
frankfurter,cream cheese ,,,,,,,,,
rolls/buns,meat,whole milk,domestic eggs,white bread,domestic eggs,,,,,
rolls/buns,whole milk,napkins,fruit/vegetable juice,mustard,,,,,,
pastry,curd,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
bottled beer,butter,frozen vegetables,whole milk,,,,,,,
turkey,soft cheese,other vegetables,canned beer,,,,,,,
root vegetables,soft cheese,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
bottled beer,frozen vegetables,,,,,,,,,
pork,frozen meals,canned beer,,,,,,,,
whole milk,yogurt,,,,,,,,,
newspapers,domestic eggs,,,,,,,,,
sausage,whole milk,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
root vegetables,sausage,condensed milk,other vegetables,canned beer,white bread,hard cheese,frozen vegetables,,,
soda,soda,,,,,,,,,
frozen meals,bottled water,,,,,,,,,
pet care,flour,coffee,napkins,,,,,,,
soups,margarine,,,,,,,,,
pot plants,other vegetables,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
butter,cream,,,,,,,,,
butter milk,soda,rolls/buns,,,,,,,,
dessert,rolls/buns,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
pork,condensed milk,oil,,,,,,,,
pork,whole milk,,,,,,,,,
canned fish,white bread,,,,,,,,,
ham,chicken,canned beer,other vegetables,napkins,,,,,,
tropical fruit,pip fruit,prosecco,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
whole milk,grapes,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
fruit/vegetable juice,brown bread,,,,,,,,,
rolls/buns,misc. beverages,ice cream,tropical fruit,shopping bags,coffee,popcorn,hygiene articles,,,
whole milk,margarine,,,,,,,,,
tropical fruit,whole milk,long life bakery product,rum,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
bottled water,whipped/sour cream,berries,whole milk,,,,,,,
coffee,canned fish,,,,,,,,,
yogurt,whole milk,,,,,,,,,
sausage,pork,butter milk,canned beer,whole milk,yogurt,rolls/buns,,,,
white bread,red/blush wine,,,,,,,,,
meat,root vegetables,,,,,,,,,
beef,fruit/vegetable juice,whole milk,,,,,,,,
dessert,soda,,,,,,,,,
rolls/buns,citrus fruit,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
whole milk,margarine,,,,,,,,,
yogurt,soda,yogurt,,,,,,,,
frankfurter,newspapers,,,,,,,,,
other vegetables,margarine,soda,salty snack,,,,,,,
citrus fruit,root vegetables,yogurt,soft cheese,,,,,,,
whole milk,ice cream,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
cat food,soda,,,,,,,,,
whole milk,hamburger meat,beverages,bottled water,,,,,,,
root vegetables,grapes,,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
UHT-milk,beverages,,,,,,,,,
frankfurter,newspapers,,,,,,,,,
frankfurter,whole milk,whole milk,,,,,,,,
berries,sauces,,,,,,,,,
other vegetables,condensed milk,,,,,,,,,
cream cheese ,misc. beverages,,,,,,,,,
sausage,ice cream,,,,,,,,,
oil,chewing gum,,,,,,,,,
other vegetables,onions,,,,,,,,,
whole milk,tropical fruit,liquor (appetizer),soda,,,,,,,
meat,sausage,baking powder,pastry,,,,,,,
whole milk,butter,,,,,,,,,
tropical fruit,whole milk,vinegar,,,,,,,,
sausage,grapes,,,,,,,,,
yogurt,whole milk,onions,sugar,,,,,,,
other vegetables,bottled water,,,,,,,,,
beef,whole milk,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
root vegetables,ham,,,,,,,,,
whole milk,butter,,,,,,,,,
whipped/sour cream,hard cheese,,,,,,,,,
grapes,bottled water,,,,,,,,,
ready soups,shopping bags,,,,,,,,,
soda,onions,pastry,,,,,,,,
citrus fruit,margarine,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
sausage,soda,,,,,,,,,
beef,whole milk,,,,,,,,,
sausage,whole milk,,,,,,,,,
napkins,white bread,,,,,,,,,
citrus fruit,sausage,bottled beer,herbs,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
cleaner,other vegetables,,,,,,,,,
newspapers,fruit/vegetable juice,specialty chocolate,,,,,,,,
tropical fruit,rolls/buns,canned beer,dish cleaner,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
canned beer,brown bread,,,,,,,,,
butter milk,dessert,processed cheese,,,,,,,,
tropical fruit,soda,,,,,,,,,
fruit/vegetable juice,dental care,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
fruit/vegetable juice,canned fish,,,,,,,,,
whole milk,rolls/buns,canned fish,,,,,,,,
tropical fruit,margarine,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
yogurt,other vegetables,soft cheese,salt,,,,,,,
tropical fruit,soda,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
canned beer,organic sausage,tropical fruit,shopping bags,,,,,,,
soda,liquor (appetizer),,,,,,,,,
other vegetables,sausage,sliced cheese,rolls/buns,,,,,,,
butter,dog food,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
whole milk,bottled water,,,,,,,,,
pip fruit,candy,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
citrus fruit,chicken,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
pip fruit,cereals,,,,,,,,,
rolls/buns,yogurt,Instant food products,,,,,,,,
fish,root vegetables,chocolate,,,,,,,,
rolls/buns,cereals,,,,,,,,,
pip fruit,napkins,shopping bags,,,,,,,,
tropical fruit,condensed milk,pastry,,,,,,,,
sugar,frozen fish,,,,,,,,,
soda,shopping bags,,,,,,,,,
curd,condensed milk,dental care,,,,,,,,
salty snack,napkins,yogurt,brown bread,,,,,,,
newspapers,root vegetables,pastry,margarine,,,,,,,
citrus fruit,butter,UHT-milk,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
bottled beer,dishes,,,,,,,,,
whole milk,soups,,,,,,,,,
citrus fruit,processed cheese,,,,,,,,,
beef,other vegetables,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
coffee,other vegetables,,,,,,,,,
dog food,hygiene articles,Instant food products,,,,,,,,
hard cheese,coffee,,,,,,,,,
pastry,yogurt,,,,,,,,,
pork,whole milk,other vegetables,tidbits,coffee,,,,,,
sausage,curd,,,,,,,,,
cream cheese ,cream cheese ,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
bottled water,other vegetables,coffee,soda,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
whole milk,specialty bar,,,,,,,,,
chewing gum,beef,domestic eggs,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
cereals,newspapers,,,,,,,,,
chicken,specialty bar,newspapers,liquor,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
turkey,domestic eggs,,,,,,,,,
bottled water,bottled beer,,,,,,,,,
canned beer,white bread,,,,,,,,,
pastry,pork,,,,,,,,,
berries,hamburger meat,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
butter,root vegetables,bottled water,whipped/sour cream,red/blush wine,,,,,,
dessert,whole milk,,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
root vegetables,napkins,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
long life bakery product,hard cheese,,,,,,,,,
hamburger meat,bottled beer,coffee,instant coffee,yogurt,,,,,,
grapes,napkins,,,,,,,,,
condensed milk,processed cheese,rolls/buns,,,,,,,,
white wine,condensed milk,,,,,,,,,
meat,chocolate,,,,,,,,,
cat food,fruit/vegetable juice,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
coffee,sliced cheese,,,,,,,,,
pip fruit,long life bakery product,,,,,,,,,
frankfurter,butter,newspapers,,,,,,,,
pastry,bottled beer,,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
pork,butter,napkins,seasonal products,coffee,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
whole milk,other vegetables,soda,long life bakery product,,,,,,,
pork,whole milk,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
canned beer,hamburger meat,,,,,,,,,
dessert,other vegetables,,,,,,,,,
ham,rolls/buns,,,,,,,,,
napkins,whole milk,chocolate marshmallow,,,,,,,,
photo/film,fruit/vegetable juice,,,,,,,,,
candy,citrus fruit,pasta,soda,,,,,,,
canned beer,long life bakery product,,,,,,,,,
tropical fruit,other vegetables,frozen meals,pastry,,,,,,,
dessert,pot plants,,,,,,,,,
sausage,mustard,,,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
newspapers,pork,root vegetables,napkins,,,,,,,
soft cheese,pork,white bread,fruit/vegetable juice,,,,,,,
ice cream,rolls/buns,,,,,,,,,
frozen vegetables,flower (seeds),,,,,,,,,
hamburger meat,pet care,pastry,,,,,,,,
waffles,sugar,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
frozen vegetables,brown bread,,,,,,,,,
frozen meals,brown bread,dishes,,,,,,,,
chewing gum,pastry,pastry,,,,,,,,
yogurt,other vegetables,,,,,,,,,
bottled beer,nut snack,,,,,,,,,
fruit/vegetable juice,pip fruit,,,,,,,,,
curd,long life bakery product,,,,,,,,,
pip fruit,pasta,,,,,,,,,
detergent,root vegetables,fruit/vegetable juice,brown bread,,,,,,,
pork,whole milk,beverages,soda,,,,,,,
pastry,whole milk,,,,,,,,,
bottled water,soda,soda,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
frankfurter,soft cheese,mustard,,,,,,,,
chewing gum,rolls/buns,,,,,,,,,
berries,whole milk,other vegetables,,,,,,,,
butter milk,candles,pot plants,,,,,,,,
long life bakery product,waffles,,,,,,,,,
UHT-milk,citrus fruit,frozen vegetables,,,,,,,,
other vegetables,specialty chocolate,newspapers,,,,,,,,
sausage,pastry,,,,,,,,,
tropical fruit,napkins,whole milk,,,,,,,,
other vegetables,yogurt,salty snack,,,,,,,,
pip fruit,butter,,,,,,,,,
newspapers,whipped/sour cream,bottled water,curd cheese,,,,,,,
rolls/buns,baby cosmetics,,,,,,,,,
hard cheese,curd,,,,,,,,,
whole milk,butter,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
pip fruit,male cosmetics,,,,,,,,,
butter,cat food,roll products ,,,,,,,,
other vegetables,packaged fruit/vegetables,,,,,,,,,
root vegetables,ice cream,,,,,,,,,
sausage,beverages,,,,,,,,,
grapes,chocolate,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
waffles,whole milk,,,,,,,,,
onions,UHT-milk,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
pasta,hamburger meat,frozen meals,domestic eggs,,,,,,,
yogurt,yogurt,,,,,,,,,
liquor,rolls/buns,frozen meals,,,,,,,,
curd,pastry,,,,,,,,,
liquor (appetizer),hard cheese,yogurt,,,,,,,,
canned beer,root vegetables,,,,,,,,,
whole milk,ice cream,,,,,,,,,
waffles,whole milk,condensed milk,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
yogurt,pastry,bottled water,,,,,,,,
ham,whole milk,shopping bags,,,,,,,,
ham,cream cheese ,,,,,,,,,
root vegetables,bottled water,napkins,shopping bags,rice,,,,,,
dessert,sugar,,,,,,,,,
other vegetables,semi-finished bread,domestic eggs,newspapers,,,,,,,
curd,tropical fruit,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
frozen vegetables,canned beer,,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
brown bread,soda,butter,shopping bags,,,,,,,
butter,pastry,other vegetables,other vegetables,,,,,,,
tropical fruit,bottled water,dishes,,,,,,,,
onions,grapes,bottled beer,,,,,,,,
grapes,cream cheese ,,,,,,,,,
pastry,canned beer,,,,,,,,,
frozen vegetables,dessert,,,,,,,,,
UHT-milk,soda,whole milk,whole milk,,,,,,,
frankfurter,pip fruit,whipped/sour cream,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
other vegetables,soda,,,,,,,,,
margarine,yogurt,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
long life bakery product,bottled beer,,,,,,,,,
pip fruit,sugar,,,,,,,,,
yogurt,cream cheese ,,,,,,,,,
pip fruit,ice cream,,,,,,,,,
sausage,grapes,,,,,,,,,
coffee,whole milk,domestic eggs,,,,,,,,
butter,bottled water,,,,,,,,,
yogurt,other vegetables,whipped/sour cream,,,,,,,,
whole milk,other vegetables,,,,,,,,,
zwieback,butter,,,,,,,,,
ham,salt,,,,,,,,,
frozen vegetables,beef,UHT-milk,abrasive cleaner,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
other vegetables,curd,,,,,,,,,
fruit/vegetable juice,canned fish,light bulbs,long life bakery product,,,,,,,
sausage,yogurt,dishes,,,,,,,,
newspapers,beverages,beef,chocolate,kitchen towels,,,,,,
onions,specialty chocolate,canned fruit,,,,,,,,
rolls/buns,margarine,,,,,,,,,
tropical fruit,meat,other vegetables,domestic eggs,baking powder,,,,,,
rolls/buns,canned fish,chocolate,,,,,,,,
yogurt,misc. beverages,brown bread,napkins,,,,,,,
dessert,herbs,detergent,artif. sweetener,,,,,,,
kitchen towels,bottled beer,,,,,,,,,
ice cream,herbs,,,,,,,,,
frankfurter,rubbing alcohol,sparkling wine,other vegetables,domestic eggs,white bread,yogurt,soda,,,
whole milk,white bread,canned beer,brown bread,fruit/vegetable juice,,,,,,
bottled beer,whole milk,,,,,,,,,
bottled water,beverages,pastry,,,,,,,,
turkey,root vegetables,,,,,,,,,
chocolate,yogurt,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
frozen vegetables,canned beer,,,,,,,,,
soda,shopping bags,cream cheese ,,,,,,,,
coffee,whole milk,,,,,,,,,
berries,other vegetables,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
white bread,other vegetables,whipped/sour cream,UHT-milk,margarine,,,,,,
soft cheese,sugar,,,,,,,,,
beef,candy,,,,,,,,,
sausage,yogurt,,,,,,,,,
whole milk,detergent,,,,,,,,,
other vegetables,chicken,,,,,,,,,
hamburger meat,spread cheese,,,,,,,,,
pastry,frankfurter,long life bakery product,whipped/sour cream,,,,,,,
margarine,misc. beverages,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
packaged fruit/vegetables,specialty bar,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
domestic eggs,margarine,canned beer,candles,,,,,,,
domestic eggs,sausage,bottled water,curd,frozen meals,hygiene articles,chocolate,rolls/buns,,,
rolls/buns,rolls/buns,,,,,,,,,
frozen fish,sausage,other vegetables,canned beer,yogurt,shopping bags,beverages,chewing gum,canned beer,,
whole milk,butter milk,,,,,,,,,
bottled water,shopping bags,,,,,,,,,
tropical fruit,tropical fruit,,,,,,,,,
tropical fruit,butter milk,softener,,,,,,,,
root vegetables,coffee,,,,,,,,,
meat,domestic eggs,,,,,,,,,
bottled water,frozen vegetables,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
meat,curd,,,,,,,,,
other vegetables,long life bakery product,,,,,,,,,
dessert,newspapers,bottled water,,,,,,,,
butter milk,semi-finished bread,,,,,,,,,
other vegetables,pip fruit,napkins,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
canned beer,berries,male cosmetics,fruit/vegetable juice,,,,,,,
tropical fruit,red/blush wine,,,,,,,,,
onions,soda,,,,,,,,,
tropical fruit,specialty bar,whole milk,,,,,,,,
sliced cheese,pasta,,,,,,,,,
roll products ,sausage,prosecco,chocolate,,,,,,,
meat,other vegetables,pasta,,,,,,,,
beverages,other vegetables,,,,,,,,,
margarine,brandy,root vegetables,shopping bags,,,,,,,
tropical fruit,whole milk,soda,curd,,,,,,,
tropical fruit,UHT-milk,candy,,,,,,,,
bottled water,berries,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
dish cleaner,curd,,,,,,,,,
root vegetables,male cosmetics,,,,,,,,,
soda,domestic eggs,sliced cheese,soda,,,,,,,
citrus fruit,grapes,,,,,,,,,
yogurt,long life bakery product,onions,hygiene articles,sugar,,,,,,
yogurt,sliced cheese,whipped/sour cream,,,,,,,,
sausage,bottled water,whole milk,ketchup,soda,chewing gum,,,,,
meat,canned fish,,,,,,,,,
citrus fruit,tropical fruit,pork,other vegetables,whole milk,yogurt,flower (seeds),,,,
whole milk,berries,,,,,,,,,
soda,frozen potato products,white wine,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
root vegetables,dog food,,,,,,,,,
other vegetables,zwieback,,,,,,,,,
canned beer,canned beer,,,,,,,,,
semi-finished bread,tropical fruit,,,,,,,,,
frankfurter,pastry,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
yogurt,whole milk,,,,,,,,,
bottled beer,canned beer,,,,,,,,,
frankfurter,butter milk,,,,,,,,,
bottled beer,citrus fruit,shopping bags,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
tropical fruit,grapes,whole milk,pastry,white bread,,,,,,
butter milk,whole milk,brandy,,,,,,,,
hard cheese,canned beer,,,,,,,,,
pork,brown bread,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
butter milk,dessert,,,,,,,,,
pip fruit,long life bakery product,,,,,,,,,
nuts/prunes,root vegetables,white wine,pastry,,,,,,,
pip fruit,frozen vegetables,,,,,,,,,
yogurt,liqueur,,,,,,,,,
ice cream,cream cheese ,,,,,,,,,
sausage,other vegetables,,,,,,,,,
whole milk,whole milk,herbs,,,,,,,,
citrus fruit,whole milk,yogurt,canned beer,,,,,,,
sausage,white wine,,,,,,,,,
berries,coffee,margarine,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
whipped/sour cream,pastry,napkins,,,,,,,,
tropical fruit,onions,,,,,,,,,
canned fish,curd,,,,,,,,,
salty snack,chocolate,,,,,,,,,
rolls/buns,brown bread,whole milk,pasta,curd,butter milk,,,,,
bottled water,tropical fruit,,,,,,,,,
sausage,grapes,sliced cheese,napkins,,,,,,,
chicken,citrus fruit,sugar,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
root vegetables,newspapers,butter,,,,,,,,
pip fruit,curd,pip fruit,prosecco,,,,,,,
rolls/buns,bottled water,,,,,,,,,
beef,salty snack,,,,,,,,,
white bread,root vegetables,,,,,,,,,
onions,citrus fruit,white bread,dessert,shopping bags,,,,,,
coffee,brown bread,,,,,,,,,
canned beer,cream cheese ,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
spread cheese,other vegetables,whole milk,,,,,,,,
bottled beer,frozen dessert,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
tropical fruit,frozen fish,,,,,,,,,
butter,soda,,,,,,,,,
whole milk,onions,pickled vegetables,,,,,,,,
zwieback,cream cheese ,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
yogurt,dessert,,,,,,,,,
soda,pastry,,,,,,,,,
bottled beer,yogurt,other vegetables,,,,,,,,
frankfurter,ice cream,mustard,soda,,,,,,,
dishes,shopping bags,,,,,,,,,
citrus fruit,pip fruit,ketchup,roll products ,seasonal products,hard cheese,dog food,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,hair spray,waffles,,,,,,,,
meat,rolls/buns,,,,,,,,,
brown bread,rolls/buns,citrus fruit,frozen fish,chocolate,,,,,,
pip fruit,candy,,,,,,,,,
soda,rolls/buns,,,,,,,,,
soda,soda,,,,,,,,,
candles,soda,,,,,,,,,
other vegetables,curd,,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
dessert,other vegetables,,,,,,,,,
whole milk,canned beer,,,,,,,,,
UHT-milk,brown bread,,,,,,,,,
meat,coffee,,,,,,,,,
pork,white wine,,,,,,,,,
pip fruit,butter milk,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
shopping bags,chocolate,,,,,,,,,
hard cheese,salty snack,,,,,,,,,
decalcifier,whole milk,,,,,,,,,
grapes,yogurt,hygiene articles,,,,,,,,
onions,newspapers,newspapers,,,,,,,,
bottled beer,tropical fruit,,,,,,,,,
rolls/buns,white bread,,,,,,,,,
chicken,pork,,,,,,,,,
rice,bottled beer,,,,,,,,,
bottled beer,brown bread,,,,,,,,,
canned beer,curd,,,,,,,,,
pork,white bread,,,,,,,,,
yogurt,yogurt,,,,,,,,,
other vegetables,frozen fish,,,,,,,,,
frankfurter,other vegetables,whole milk,ready soups,brandy,,,,,,
bottled water,butter milk,,,,,,,,,
canned beer,brown bread,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
yogurt,other vegetables,rolls/buns,herbs,,,,,,,
brown bread,rolls/buns,,,,,,,,,
bottled water,mustard,,,,,,,,,
whole milk,pastry,fruit/vegetable juice,,,,,,,,
liquor (appetizer),yogurt,specialty chocolate,rolls/buns,,,,,,,
frankfurter,oil,,,,,,,,,
yogurt,hard cheese,,,,,,,,,
beef,chocolate,pastry,,,,,,,,
frankfurter,pork,,,,,,,,,
salty snack,tropical fruit,bottled beer,rolls/buns,chocolate,,,,,,
yogurt,whole milk,,,,,,,,,
soda,other vegetables,bottled beer,,,,,,,,
baking powder,beef,,,,,,,,,
baking powder,canned beer,specialty chocolate,,,,,,,,
other vegetables,pastry,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
pip fruit,newspapers,,,,,,,,,
cat food,male cosmetics,,,,,,,,,
beef,butter,,,,,,,,,
berries,pork,waffles,herbs,yogurt,specialty cheese,fruit/vegetable juice,long life bakery product,,,
rolls/buns,tidbits,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
ready soups,pastry,,,,,,,,,
pot plants,tropical fruit,pip fruit,whole milk,semi-finished bread,,,,,,
yogurt,detergent,,,,,,,,,
dessert,onions,,,,,,,,,
root vegetables,frozen meals,shopping bags,margarine,,,,,,,
